庚	0xfdb8	0x5e9a
羹	0xfeb8	0x7fb9
埂	0xa1b9	0x57c2
耿	0xa2b9	0x803f
梗	0xa3b9	0x6897
工	0xa4b9	0x5de5
攻	0xa5b9	0x653b
功	0xa6b9	0x529f
恭	0xa7b9	0x606d
龚	0xa8b9	0x9f9a
供	0xa9b9	0x4f9b
躬	0xaab9	0x8eac
公	0xabb9	0x516c
宫	0xacb9	0x5bab
弓	0xadb9	0x5f13
巩	0xaeb9	0x5de9
汞	0xafb9	0x6c5e
拱	0xb0b9	0x62f1
贡	0xb1b9	0x8d21
共	0xb2b9	0x5171
钩	0xb3b9	0x94a9
勾	0xb4b9	0x52fe
沟	0xb5b9	0x6c9f
苟	0xb6b9	0x82df
狗	0xb7b9	0x72d7
垢	0xb8b9	0x57a2
构	0xb9b9	0x6784
购	0xbab9	0x8d2d
够	0xbbb9	0x591f
辜	0xbcb9	0x8f9c
菇	0xbdb9	0x83c7
咕	0xbeb9	0x5495
箍	0xbfb9	0x7b8d
估	0xc0b9	0x4f30
沽	0xc1b9	0x6cbd
孤	0xc2b9	0x5b64
姑	0xc3b9	0x59d1
鼓	0xc4b9	0x9f13
古	0xc5b9	0x53e4
蛊	0xc6b9	0x86ca
骨	0xc7b9	0x9aa8
谷	0xc8b9	0x8c37
股	0xc9b9	0x80a1
故	0xcab9	0x6545
顾	0xcbb9	0x987e
固	0xccb9	0x56fa
雇	0xcdb9	0x96c7
刮	0xceb9	0x522e
瓜	0xcfb9	0x74dc
剐	0xd0b9	0x5250
寡	0xd1b9	0x5be1
挂	0xd2b9	0x6302
褂	0xd3b9	0x8902
乖	0xd4b9	0x4e56
拐	0xd5b9	0x62d0
怪	0xd6b9	0x602a
棺	0xd7b9	0x68fa
关	0xd8b9	0x5173
官	0xd9b9	0x5b98
冠	0xdab9	0x51a0
观	0xdbb9	0x89c2
管	0xdcb9	0x7ba1
馆	0xddb9	0x9986
罐	0xdeb9	0x7f50
